matricula;turma;atividade;tipo_duplicata;valor;vlr_desconto;vlr_multa;vlr_juros;valor_atual;parcela;dt_vencimento
558;3º ANO - TARDE;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
928;3º ANO - TARDE;;SE;1100.00;0.00;22.00;32.67;1154.67;11;01/12/2025
928;3º ANO - TARDE;;SE;1100.00;0.00;22.00;25.05;1147.05;12;22/12/2025
792;3º ANO - TARDE;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
1030;4º ANO - MANHÃ;;SE;1100.00;0.00;22.00;32.67;1154.67;11;01/12/2025
1030;4º ANO - MANHÃ;;SE;1100.00;0.00;22.00;25.05;1147.05;12;22/12/2025
674;4º ANO - MANHÃ;;SE;424.00;0.00;8.48;12.59;445.07;11;01/12/2025
674;4º ANO - MANHÃ;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
775;4º ANO - MANHÃ;;SE;424.00;0.00;8.48;12.59;445.07;11;01/12/2025
775;4º ANO - MANHÃ;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
1025;4º ANO - TARDE;;SE;460.00;0.00;9.20;59.81;529.01;1;31/01/2025
992;4º ANO - TARDE;;SE;424.00;0.00;8.48;12.59;445.07;11;01/12/2025
992;4º ANO - TARDE;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
1046;4º ANO - TARDE;;SE;514.00;0.00;10.28;11.70;535.98;12;22/12/2025
957;4º ANO - TARDE;;SE;424.00;0.00;8.48;12.59;445.07;11;01/12/2025
957;4º ANO - TARDE;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
1063;4º ANO - TARDE;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
695;5º ANO - MANHÃ;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
793;5º ANO - MANHÃ;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
912;5º ANO - MANHÃ;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
726;5º ANO - MANHÃ;;SE;424.00;0.00;8.48;12.59;445.07;11;01/12/2025
726;5º ANO - MANHÃ;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
